NOME,PLATAFORMA,GENERO,VENDAS(AN),VENDAS(EU),VENDAS(JP),VENDAS(Outros),VENDAS(GLOBAL),soma_total
Clash of Elementalists,DS,Action,0.0,0.0,0.47,0.0,0.47,0.47
F.E.A.R. 2: Project Origin,PS3,Shooter,0.19,0.2,0.01,0.08,0.47,0.21000000000000002
The Sims 2: Pets,Wii,Simulation,0.41,0.02,0.0,0.04,0.47,0.02
L.A. Rush,PS2,Racing,0.23,0.18,0.0,0.06,0.47,0.18
Momotarou Dentetsu V,PS,Misc,0.0,0.0,0.44,0.03,0.47,0.44
Doom 64,N64,Shooter,0.38,0.08,0.0,0.01,0.47,0.08
Bomberman Hero,N64,Platform,0.27,0.06,0.08,0.05,0.47,0.14
Automobili Lamborghini,N64,Racing,0.28,0.17,0.0,0.01,0.47,0.17
Quest 64,N64,Role-Playing,0.38,0.08,0.0,0.01,0.47,0.08
Crash: Mind Over Mutant,X360,Platform,0.22,0.2,0.0,0.05,0.47,0.2
Viva Pinata: Trouble in Paradise,X360,Simulation,0.16,0.25,0.01,0.05,0.47,0.26
Epic Mickey 2: The Power of Two,PS3,Action,0.21,0.18,0.0,0.08,0.47,0.18
Commando,2600,Action,0.44,0.02,0.0,0.0,0.47,0.02
NBA Ballers: Phenom,PS2,Sports,0.23,0.18,0.0,0.06,0.47,0.18
Dragon Age Origins: Awakening,X360,Role-Playing,0.33,0.1,0.0,0.04,0.47,0.1
Need for Speed Carbon,XB,Racing,0.35,0.1,0.0,0.02,0.47,0.1
Shadowrun,X360,Role-Playing,0.41,0.02,0.0,0.04,0.47,0.02
Crazy Taxi: Fare Wars,PSP,Racing,0.1,0.22,0.02,0.12,0.47,0.24
MTV Music Generator,PS,Misc,0.26,0.18,0.0,0.03,0.47,0.18
"Warhammer 40,000: Dawn of War II",PC,Strategy,0.0,0.45,0.0,0.02,0.47,0.45
Hamsterz Life,DS,Action,0.43,0.01,0.0,0.04,0.47,0.01
Emergency Heroes,Wii,Racing,0.14,0.27,0.0,0.05,0.47,0.27
Super Momotarou Dentetsu DX,SNES,Misc,0.0,0.0,0.47,0.0,0.47,0.47
FlingSmash,Wii,Action,0.37,0.01,0.07,0.02,0.47,0.08
World Soccer Winning Eleven 8: Liveware Evolution,PS2,Sports,0.0,0.0,0.47,0.0,0.47,0.47
Cars: Race-O-Rama,PS2,Racing,0.27,0.03,0.0,0.17,0.47,0.03
Downhill Domination,PS2,Racing,0.23,0.18,0.0,0.06,0.47,0.18
Dead Space Extraction,Wii,Shooter,0.32,0.1,0.01,0.04,0.47,0.11
Pirates of the Caribbean: Dead Man's Chest,GBA,Adventure,0.33,0.12,0.0,0.01,0.47,0.12
Silent Hill: Shattered Memories,Wii,Action,0.22,0.19,0.01,0.05,0.47,0.2
Active Life: Extreme Challenge,Wii,Sports,0.14,0.27,0.0,0.06,0.47,0.27
FIFA 12,PC,Sports,0.04,0.33,0.0,0.1,0.47,0.33
Spider-Man: Friend or Foe,DS,Action,0.43,0.0,0.0,0.04,0.47,0.0
World Series of Poker,PS2,Misc,0.39,0.01,0.0,0.06,0.47,0.01
Inazuma Eleven Go 2: Chrono Stone,3DS,Role-Playing,0.0,0.01,0.46,0.0,0.47,0.47000000000000003
NHL 97,PS,Sports,0.26,0.18,0.0,0.03,0.47,0.18
Final Fantasy Crystal Chronicles: Echoes of Time,DS,Role-Playing,0.12,0.06,0.27,0.02,0.47,0.33
Rise of Nightmares,X360,Action,0.28,0.13,0.01,0.04,0.47,0.14
EA Sports UFC,XOne,Sports,0.3,0.12,0.0,0.04,0.47,0.12
Kong: The 8th Wonder of the World,GBA,Action,0.33,0.12,0.0,0.01,0.47,0.12
Spider-Man 3,DS,Platform,0.41,0.02,0.0,0.04,0.47,0.02
Dead or Alive 4,X360,Fighting,0.3,0.03,0.1,0.03,0.47,0.13
Godzilla: Save the Earth,PS2,Fighting,0.23,0.18,0.0,0.06,0.47,0.18
Dance Dance Revolution: Mario Mix,GC,Misc,0.36,0.09,0.0,0.01,0.47,0.09
Metal Gear Solid: The Twin Snakes,GC,Action,0.3,0.08,0.07,0.01,0.47,0.15000000000000002
Tiger Woods PGA Tour 07,Wii,Sports,0.43,0.0,0.0,0.04,0.47,0.0
Art Academy: Lessons for Everyone,3DS,Action,0.2,0.04,0.21,0.02,0.46,0.25
Mat Hoffman's Pro BMX 2,PS2,Sports,0.23,0.18,0.0,0.06,0.46,0.18
Metal Gear Solid: The Essential Collection,PS2,Adventure,0.23,0.18,0.0,0.06,0.46,0.18
One Piece: Pirate Warriors 3,PS4,Action,0.09,0.22,0.1,0.06,0.46,0.32
Iridion 3D,GBA,Shooter,0.33,0.12,0.0,0.01,0.46,0.12
2010 FIFA World Cup South Africa,PSP,Sports,0.09,0.22,0.03,0.12,0.46,0.25
Classic NES Series: Pac-Man,GBA,Puzzle,0.25,0.09,0.12,0.01,0.46,0.21
Two Worlds II,PS3,Role-Playing,0.26,0.1,0.06,0.05,0.46,0.16
Football Manager 2015,PC,Simulation,0.0,0.44,0.0,0.03,0.46,0.44
Destroy All Humans!,XB,Shooter,0.34,0.11,0.0,0.02,0.46,0.11
Petz Sports,Wii,Simulation,0.42,0.01,0.0,0.04,0.46,0.01
Imagine: Figure Skater (US sales),DS,Sports,0.46,0.01,0.0,0.0,0.46,0.01
SimCity Creator,Wii,Simulation,0.36,0.02,0.04,0.04,0.46,0.06
Dragon Ball Z: Collectible Card Game,GBA,Misc,0.33,0.12,0.0,0.01,0.46,0.12
Circus Atari,2600,Action,0.43,0.03,0.0,0.0,0.46,0.03
Harry Potter and the Order of the Phoenix,Wii,Action,0.38,0.05,0.0,0.04,0.46,0.05
The Sims 3: Ambitions,PC,Simulation,0.0,0.29,0.0,0.17,0.46,0.29
Razor Freestyle Scooter,PS,Sports,0.26,0.17,0.0,0.03,0.46,0.17
Disney's Kim Possible 3: Team Possible,GBA,Platform,0.33,0.12,0.0,0.01,0.46,0.12
Rygar: The Legendary Adventure,PS2,Action,0.2,0.15,0.06,0.05,0.46,0.21
Syphon Filter: Logan's Shadow,PSP,Shooter,0.25,0.12,0.0,0.09,0.46,0.12
Super Batter Up,SNES,Sports,0.0,0.0,0.46,0.0,0.46,0.46
Kessen II,PS2,Strategy,0.13,0.1,0.2,0.03,0.46,0.30000000000000004
Crayon Shin-Chan: Arashi o Yobu Enji,SNES,Platform,0.0,0.0,0.46,0.0,0.46,0.46
Stuart Little 2,GBA,Platform,0.33,0.12,0.0,0.01,0.46,0.12
Tak 2: The Staff of Dreams,GBA,Platform,0.33,0.12,0.0,0.01,0.46,0.12
SingStar Amped,PS2,Misc,0.23,0.18,0.0,0.06,0.46,0.18
Brothers In Arms: Earned in Blood,PS2,Shooter,0.38,0.01,0.0,0.06,0.46,0.01
The Evil Within,X360,Action,0.25,0.16,0.01,0.04,0.46,0.17
Dragon Ball Z: Sagas,PS2,Fighting,0.38,0.01,0.0,0.06,0.46,0.01
Scooby-Doo,GBA,Platform,0.33,0.12,0.0,0.01,0.46,0.12
MX vs. ATV: Alive,PS3,Racing,0.24,0.15,0.0,0.07,0.46,0.15
Hydro Thunder,PS,Racing,0.26,0.17,0.0,0.03,0.46,0.17
NHL FaceOff '97,PS,Sports,0.26,0.17,0.0,0.03,0.46,0.17
Thief (2014),XOne,Action,0.26,0.15,0.0,0.04,0.46,0.15
The Walking Dead: Season One,PS4,Adventure,0.12,0.25,0.02,0.07,0.46,0.27
NBA Live 07,X360,Sports,0.42,0.0,0.0,0.04,0.46,0.0
Brothers In Arms: Road to Hill 30,PS2,Shooter,0.38,0.01,0.0,0.06,0.46,0.01
The Legend of Spyro: Dawn of the Dragon,DS,Platform,0.26,0.15,0.0,0.05,0.46,0.15
Gremlins,2600,Action,0.43,0.03,0.0,0.0,0.46,0.03
The Mark of Kri,PS2,Action,0.22,0.18,0.0,0.06,0.46,0.18
Need for Speed: Hot Pursuit,Wii,Racing,0.17,0.23,0.0,0.05,0.46,0.23
Jampack Winter 2003 (RP-M),PS2,Misc,0.22,0.18,0.0,0.06,0.46,0.18
Rugrats: Castle Capers,GBA,Action,0.33,0.12,0.0,0.01,0.46,0.12
Crash Nitro Kart,GBA,Racing,0.33,0.12,0.0,0.01,0.46,0.12
Crayola: Treasure Adventures,DS,Puzzle,0.42,0.01,0.0,0.03,0.46,0.01
LEGO The Hobbit,PS3,Action,0.12,0.27,0.0,0.07,0.46,0.27
Silent Hill: Downpour,PS3,Action,0.21,0.15,0.04,0.06,0.46,0.19
Mega Man Star Force 3: Black Ace / Red Joker,DS,Action,0.22,0.0,0.22,0.02,0.46,0.22
WWE SmackDown vs. Raw 2011,Wii,Fighting,0.29,0.13,0.0,0.04,0.46,0.13
Jak and Daxter: The Lost Frontier,PS2,Platform,0.22,0.17,0.0,0.06,0.46,0.17
Momotarou Dentetsu 11,PS2,Misc,0.0,0.0,0.46,0.0,0.46,0.46
Disney Infinity 3.0,WiiU,Action,0.21,0.21,0.0,0.04,0.46,0.21
The Sims 3: Outdoor Living Stuff,PC,Simulation,0.0,0.38,0.0,0.08,0.46,0.38
Star Wars: Demolition,PS,Racing,0.25,0.17,0.0,0.03,0.46,0.17
Bloody Roar II,PS,Fighting,0.25,0.17,0.0,0.03,0.46,0.17
Delta Force: Black Hawk Down,PS2,Shooter,0.22,0.17,0.0,0.06,0.46,0.17
The Princess and the Frog,Wii,Platform,0.29,0.13,0.0,0.04,0.46,0.13
Space Invaders,SNES,Shooter,0.0,0.0,0.46,0.0,0.46,0.46
.hack//Outbreak Part 3,PS2,Role-Playing,0.14,0.11,0.17,0.04,0.46,0.28
Mother 1+2,GBA,Role-Playing,0.0,0.0,0.45,0.01,0.46,0.45
MX vs. ATV Untamed,PS3,Racing,0.35,0.06,0.0,0.05,0.46,0.06
Boom Blox Bash Party,Wii,Puzzle,0.33,0.09,0.0,0.04,0.46,0.09
Top Spin,XB,Sports,0.36,0.08,0.0,0.02,0.46,0.08
Brothers In Arms: D-Day,PSP,Shooter,0.23,0.14,0.0,0.09,0.46,0.14
Warhawk,PS,Simulation,0.25,0.17,0.0,0.03,0.46,0.17
The Golden Compass,X360,Action,0.3,0.12,0.0,0.04,0.46,0.12
Tomb Raider: Legend,PSP,Action,0.09,0.24,0.0,0.12,0.46,0.24
Just Dance 2014,XOne,Misc,0.3,0.11,0.0,0.04,0.45,0.11
Tales of Vesperia,PS3,Role-Playing,0.0,0.0,0.45,0.0,0.45,0.45
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,Platform,0.33,0.12,0.0,0.01,0.45,0.12
Dora The Explorer: Dora Saves the Snow Princess,DS,Platform,0.26,0.15,0.0,0.03,0.45,0.15
Missile Command,PS,Shooter,0.25,0.17,0.0,0.03,0.45,0.17
FIFA 15,3DS,Sports,0.09,0.34,0.0,0.03,0.45,0.34
Jikkyou Powerful Pro Yakyuu 3,SNES,Sports,0.0,0.0,0.45,0.0,0.45,0.45
Jikkyou Powerful Pro Yakyuu 12,PS2,Sports,0.0,0.0,0.45,0.0,0.45,0.45
Enter the Matrix,GC,Action,0.34,0.09,0.02,0.01,0.45,0.11
LEGO The Hobbit,X360,Action,0.2,0.21,0.0,0.04,0.45,0.21
NASCAR 2005: Chase for the Cup,XB,Racing,0.34,0.1,0.0,0.02,0.45,0.1
J-League Excite Stage '95,SNES,Sports,0.0,0.0,0.45,0.0,0.45,0.45
Vin Diesel: Wheelman,X360,Racing,0.24,0.17,0.0,0.05,0.45,0.17
NHL 15,X360,Sports,0.35,0.05,0.0,0.05,0.45,0.05
Phantasy Star Online Episode I & II,GC,Role-Playing,0.23,0.06,0.16,0.01,0.45,0.22
PlayStation All-Stars Battle Royale,PSV,Action,0.21,0.14,0.01,0.09,0.45,0.15000000000000002
The Powerpuff Girls: Relish Rampage,PS2,Action,0.22,0.17,0.0,0.06,0.45,0.17
Bleach: The Blade of Fate,DS,Fighting,0.29,0.01,0.12,0.03,0.45,0.13
American Girl: Kit Mystery Challenge!,DS,Adventure,0.42,0.0,0.0,0.03,0.45,0.0
Country Dance 2,Wii,Misc,0.43,0.0,0.0,0.03,0.45,0.0
The Chronicles of Riddick: Escape from Butcher Bay,XB,Shooter,0.32,0.11,0.0,0.02,0.45,0.11
NFL Head Coach,PS2,Sports,0.38,0.01,0.0,0.06,0.45,0.01
Ghostbusters,2600,Puzzle,0.42,0.03,0.0,0.0,0.45,0.03
Nickelodeon Team Umizoomi,DS,Action,0.42,0.0,0.0,0.03,0.45,0.0
NCAA Gamebreaker 99,PS,Sports,0.25,0.17,0.0,0.03,0.45,0.17
Tomb Raider: Underworld,Wii,Action,0.13,0.27,0.0,0.05,0.45,0.27
Area 51,PS2,Shooter,0.22,0.17,0.0,0.06,0.45,0.17
World Stadium 2,PS,Sports,0.0,0.0,0.42,0.03,0.45,0.42
NHL 2005,PS2,Sports,0.22,0.17,0.0,0.06,0.45,0.17
The New York Times Crosswords,DS,Puzzle,0.42,0.0,0.0,0.03,0.45,0.0
Karaoke Revolution Presents American Idol Encore,Wii,Misc,0.42,0.0,0.0,0.03,0.45,0.0
Barbie as The Island Princess,Wii,Adventure,0.42,0.0,0.0,0.03,0.45,0.0
Lego Batman 3: Beyond Gotham,3DS,Action,0.21,0.2,0.0,0.04,0.45,0.2
iCarly,Wii,Adventure,0.42,0.0,0.0,0.03,0.45,0.0
Star Wars Jedi Knight: Jedi Academy,XB,Shooter,0.34,0.1,0.0,0.02,0.45,0.1
Phoenix,2600,Simulation,0.42,0.02,0.0,0.0,0.45,0.02
Dynasty Warriors: Strikeforce,PSP,Action,0.03,0.02,0.38,0.02,0.45,0.4
Brain Challenge,DS,Misc,0.41,0.0,0.0,0.03,0.45,0.0
Command & Conquer: Red Alert 3,X360,Strategy,0.18,0.23,0.0,0.05,0.45,0.23
Enemy Territory: Quake Wars,X360,Shooter,0.3,0.11,0.0,0.04,0.45,0.11
Major League Baseball 2K11,X360,Sports,0.4,0.03,0.0,0.03,0.45,0.03
Harvest Moon DS (US sales),DS,Simulation,0.4,0.05,0.0,0.0,0.45,0.05
Apocalypse,PS,Action,0.25,0.17,0.0,0.03,0.45,0.17
ATV Offroad Fury Pro,PSP,Racing,0.37,0.03,0.0,0.04,0.45,0.03
Burnout Dominator,PSP,Racing,0.02,0.38,0.01,0.05,0.45,0.39
Yu-Gi-Oh! Destiny Board Traveler,GBA,Misc,0.32,0.12,0.0,0.01,0.45,0.12
God Eater 2,PSV,Role-Playing,0.0,0.0,0.45,0.0,0.45,0.45
Scooby-Doo! and the Spooky Swamp,Wii,Action,0.29,0.13,0.0,0.04,0.45,0.13
Crash of the Titans,Wii,Action,0.39,0.02,0.0,0.03,0.45,0.02
World Soccer Winning Eleven 5 Final Evolution,PS2,Sports,0.0,0.0,0.45,0.0,0.45,0.45
Red Faction: Armageddon,PS3,Shooter,0.2,0.15,0.03,0.07,0.45,0.18
Sphinx and the Cursed Mummy,PS2,Action,0.22,0.17,0.0,0.06,0.45,0.17
Fatal Fury 2,SNES,Fighting,0.0,0.0,0.45,0.0,0.45,0.45
Rampage World Tour,N64,Action,0.36,0.08,0.0,0.01,0.45,0.08
Pokemon Puzzle League,N64,Puzzle,0.36,0.08,0.0,0.01,0.45,0.08
PES 2009: Pro Evolution Soccer,Wii,Sports,0.09,0.26,0.05,0.05,0.45,0.31
Despicable Me: The Game - Minion Mayhem,DS,Puzzle,0.37,0.05,0.0,0.03,0.45,0.05
Lego Batman 3: Beyond Gotham,WiiU,Action,0.21,0.21,0.0,0.04,0.45,0.21
Tekken Advance,GBA,Fighting,0.32,0.12,0.0,0.01,0.45,0.12
Shin Megami Tensei: Persona 3,PS2,Role-Playing,0.22,0.03,0.0,0.2,0.45,0.03
Persona,PS,Role-Playing,0.0,0.0,0.42,0.03,0.45,0.42
Hot Wheels: Stunt Track Challenge,GBA,Racing,0.32,0.12,0.0,0.01,0.45,0.12
My Fashion Studio,DS,Misc,0.41,0.0,0.0,0.03,0.45,0.0
Maze Craze: A Game of Cops 'n Robbers,2600,Action,0.42,0.02,0.0,0.0,0.45,0.02
Mobile Suit Gundam,PS,Action,0.0,0.0,0.42,0.03,0.45,0.42
TNA iMPACT!,X360,Fighting,0.26,0.15,0.0,0.04,0.45,0.15
Pirates of the Caribbean: At World's End,Wii,Action,0.39,0.02,0.01,0.04,0.45,0.03
Bee Movie Game,DS,Action,0.41,0.0,0.0,0.03,0.45,0.0
Sega Rally Revo,X360,Racing,0.12,0.28,0.0,0.05,0.45,0.28
SingStar Take That,PS2,Misc,0.0,0.06,0.0,0.39,0.45,0.06
Final Fantasy Collection,PS,Role-Playing,0.0,0.0,0.42,0.03,0.45,0.42
Disney Sing It! High School Musical 3: Senior Year,PS2,Misc,0.09,0.02,0.0,0.34,0.45,0.02
Samurai Warriors: Xtreme Legends,PS2,Action,0.04,0.03,0.36,0.01,0.45,0.39
LEGO Rock Band,DS,Misc,0.32,0.09,0.0,0.04,0.45,0.09
NHL FaceOff,PS,Sports,0.25,0.17,0.0,0.03,0.45,0.17
WWE WrestleMania 21,XB,Fighting,0.34,0.1,0.0,0.02,0.45,0.1
NBA Live 2005,GC,Sports,0.35,0.09,0.0,0.01,0.45,0.09
F.E.A.R. 3,PS3,Shooter,0.21,0.16,0.01,0.07,0.45,0.17
Defender II,2600,Shooter,0.42,0.02,0.0,0.0,0.45,0.02
WWE Day of Reckoning,GC,Fighting,0.35,0.09,0.0,0.01,0.45,0.09
NBA Live 10,X360,Sports,0.4,0.02,0.0,0.03,0.45,0.02
ATV Quad Power Racing 2,XB,Racing,0.36,0.07,0.0,0.01,0.45,0.07
Harry Potter and the Deathly Hallows - Part 1,X360,Action,0.21,0.2,0.0,0.04,0.45,0.2
Walt Disney World Quest: Magical Racing Tour,PS,Racing,0.25,0.17,0.0,0.03,0.45,0.17
Pro Evolution Soccer 2017,PS4,Sports,0.02,0.27,0.11,0.05,0.45,0.38
Sled Storm,PS2,Racing,0.22,0.17,0.0,0.06,0.45,0.17
Vandal Hearts,PS,Role-Playing,0.14,0.09,0.19,0.03,0.45,0.28
Dead or Alive: Dimensions,3DS,Fighting,0.13,0.21,0.07,0.03,0.45,0.28
Disney Infinity 3.0,PS3,Action,0.16,0.21,0.0,0.07,0.45,0.21
We Sing Encore,Wii,Misc,0.0,0.39,0.0,0.06,0.45,0.39
Wolfenstein: The New Order,PC,Shooter,0.13,0.29,0.0,0.03,0.45,0.29
Deadpool,PS3,Action,0.23,0.14,0.0,0.08,0.45,0.14
Jawbreaker,2600,Action,0.42,0.03,0.0,0.0,0.45,0.03
Scooby-Doo! Mystery Mayhem,PS2,Action,0.22,0.17,0.0,0.06,0.45,0.17
Watch Dogs,PC,Action,0.15,0.26,0.0,0.03,0.45,0.26
Mario Golf: Advance Tour,GBA,Sports,0.32,0.12,0.0,0.01,0.45,0.12
Celebrity Sports Showdown,Wii,Sports,0.18,0.22,0.0,0.05,0.45,0.22
F.E.A.R. 3,X360,Shooter,0.3,0.11,0.01,0.04,0.45,0.12
Disney Guilty Party,Wii,Misc,0.42,0.0,0.0,0.03,0.45,0.0
Silent Hill: Homecoming,X360,Action,0.25,0.15,0.0,0.04,0.45,0.15
Yu-Gi-Oh! Capsule Monster Coliseum,PS2,Misc,0.22,0.17,0.0,0.06,0.44,0.17
"Warhammer 40,000: Space Marine",PS3,Shooter,0.13,0.23,0.0,0.08,0.44,0.23
Discovery Kids: Kitten Corner,DS,Simulation,0.42,0.0,0.0,0.03,0.44,0.0
Rock Band Country Track Pack,Wii,Misc,0.41,0.0,0.0,0.03,0.44,0.0
Major League Baseball 2K6,PS2,Sports,0.37,0.01,0.0,0.06,0.44,0.01
Brunswick Pro Bowling,X360,Sports,0.38,0.04,0.0,0.03,0.44,0.04
Jampack Volume 13 (RP-M),PS2,Misc,0.37,0.01,0.0,0.06,0.44,0.01
World Soccer Winning Eleven 9,XB,Sports,0.06,0.33,0.02,0.03,0.44,0.35000000000000003
NBA Live 2000,N64,Sports,0.42,0.02,0.0,0.0,0.44,0.02
Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,Action,0.22,0.17,0.0,0.06,0.44,0.17
"SpongeBob SquarePants: Lights, Camera, Pants!",PS2,Misc,0.37,0.01,0.0,0.06,0.44,0.01
The Thing,PS2,Adventure,0.22,0.17,0.0,0.06,0.44,0.17
Van Helsing,PS2,Action,0.22,0.17,0.0,0.06,0.44,0.17
Mario Tennis Ultra Smash,WiiU,Sports,0.13,0.15,0.14,0.02,0.44,0.29000000000000004
Virtua Tennis 4,PS3,Sports,0.09,0.24,0.03,0.08,0.44,0.27
X-Men Legends II: Rise of Apocalypse,XB,Role-Playing,0.3,0.12,0.0,0.02,0.44,0.12
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,Fighting,0.26,0.14,0.01,0.04,0.44,0.15000000000000002
Wolfenstein: The New Order,PS3,Shooter,0.14,0.21,0.02,0.07,0.44,0.22999999999999998
Skylanders: Trap Team,PS4,Action,0.19,0.18,0.0,0.07,0.44,0.18
Worms: Open Warfare 2,PSP,Strategy,0.04,0.26,0.0,0.14,0.44,0.26
Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,Action,0.26,0.14,0.0,0.04,0.44,0.14
Spawn: Armageddon,PS2,Action,0.22,0.17,0.0,0.06,0.44,0.17
The Godfather (US sales),XB,Action,0.33,0.1,0.0,0.02,0.44,0.1
Sid Meier's Civilization Revolution,DS,Strategy,0.37,0.03,0.02,0.03,0.44,0.05
World Stadium EX,PS,Sports,0.0,0.0,0.41,0.03,0.44,0.41
Tiger Woods PGA Tour 2003,XB,Sports,0.35,0.08,0.0,0.01,0.44,0.08
Battlefield 2: Modern Combat,PS2,Shooter,0.37,0.01,0.0,0.06,0.44,0.01
50 Cent: Bulletproof,XB,Action,0.33,0.1,0.0,0.02,0.44,0.1
Densetsu no Stafi 2,GBA,Platform,0.0,0.0,0.43,0.01,0.44,0.43
Independence Day,PS,Shooter,0.25,0.17,0.0,0.03,0.44,0.17
Tony Hawk's Proving Ground,PS3,Sports,0.36,0.04,0.0,0.04,0.44,0.04
Chocobo Racing,PS,Racing,0.07,0.05,0.3,0.03,0.44,0.35
Disney Infinity 2.0: Marvel Super Heroes,XOne,Action,0.25,0.15,0.0,0.04,0.44,0.15
LEGO Star Wars II: The Original Trilogy,XB,Action,0.33,0.1,0.0,0.02,0.44,0.1
Viking: Battle for Asgard,X360,Action,0.16,0.23,0.0,0.05,0.44,0.23
Petz: Catz 2,Wii,Simulation,0.4,0.01,0.0,0.03,0.44,0.01
Dragon Quest Heroes: Rocket Slime,DS,Action,0.13,0.0,0.31,0.01,0.44,0.31
Gundam SEED: Federation vs. Z.A.F.T.,PS2,Shooter,0.0,0.0,0.44,0.0,0.44,0.44
Ms. Pac-Man Maze Madness,PS,Puzzle,0.25,0.17,0.0,0.03,0.44,0.17
Blood Omen: Legacy of Kain,PS,Role-Playing,0.25,0.17,0.0,0.03,0.44,0.17
Super Bomberman 4,SNES,Puzzle,0.0,0.0,0.44,0.0,0.44,0.44
Fable,X360,Role-Playing,0.25,0.15,0.01,0.04,0.44,0.16
Family Fest Presents Circus Games,Wii,Misc,0.1,0.29,0.0,0.05,0.44,0.29
Dance Dance Revolution: Hottest Party 3,Wii,Simulation,0.26,0.14,0.0,0.04,0.44,0.14
Bomberman II,NES,Puzzle,0.16,0.03,0.15,0.1,0.44,0.18
Duke Nukem 64,N64,Shooter,0.35,0.08,0.0,0.01,0.44,0.08
Transformers: Dark of the Moon - Autobots/Decepticons,DS,Action,0.32,0.08,0.0,0.03,0.44,0.08
The Urbz: Sims in the City (all regions sales),DS,Simulation,0.4,0.01,0.02,0.0,0.44,0.03
"SpongeBob SquarePants: Lights, Camera, Pants!",GC,Misc,0.34,0.09,0.0,0.01,0.44,0.09
Super Robot Taisen OG: Original Generations,PS2,Strategy,0.0,0.0,0.44,0.0,0.44,0.44
G-Force,Wii,Action,0.19,0.2,0.0,0.05,0.44,0.2
Army Men World War: Final Front,PS,Action,0.24,0.17,0.0,0.03,0.44,0.17
Transformers: Fall of Cybertron,X360,Action,0.28,0.12,0.0,0.04,0.44,0.12
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,Shooter,0.17,0.13,0.06,0.08,0.44,0.19
MX Unleashed,XB,Racing,0.34,0.08,0.0,0.02,0.44,0.08
Puppy Luv: Spa and Resort,DS,Simulation,0.4,0.0,0.0,0.03,0.44,0.0
Jikkyou Powerful Pro Yakyuu 9,PS2,Sports,0.0,0.0,0.44,0.0,0.44,0.44
Grind Session,PS,Sports,0.24,0.17,0.0,0.03,0.44,0.17
Naruto: Gekito Ninja Taisen! 3,GC,Fighting,0.0,0.0,0.43,0.01,0.44,0.43
Madden NFL 12,Wii,Sports,0.41,0.0,0.0,0.03,0.44,0.0
Wario World,GC,Platform,0.34,0.09,0.0,0.01,0.44,0.09
DmC: Devil May Cry,X360,Action,0.26,0.12,0.01,0.04,0.44,0.13
Scooby-Doo! Mystery Mayhem,GBA,Action,0.31,0.12,0.0,0.01,0.44,0.12
Super Breakout,2600,Puzzle,0.41,0.03,0.0,0.0,0.44,0.03
FIFA Soccer 13,PSV,Action,0.0,0.28,0.05,0.11,0.44,0.33
The Legend of Spyro: Dawn of the Dragon,PS3,Platform,0.19,0.18,0.0,0.07,0.44,0.18
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,Misc,0.0,0.0,0.44,0.0,0.44,0.44
Samurai Warriors 3,Wii,Action,0.09,0.02,0.32,0.01,0.44,0.34
Ben 10 Alien Force: Vilgax Attacks,Wii,Action,0.25,0.14,0.0,0.04,0.44,0.14
TimeSplitters 2,GC,Shooter,0.34,0.09,0.0,0.01,0.44,0.09
Battlebots: Design & Destroy,GBA,Action,0.31,0.12,0.0,0.01,0.44,0.12
Robert Ludlum's The Bourne Conspiracy,X360,Action,0.26,0.13,0.0,0.04,0.44,0.13
Eternal Darkness: Sanity's Requiem,GC,Adventure,0.34,0.09,0.0,0.01,0.44,0.09
Food Network: Cook or Be Cooked,Wii,Misc,0.41,0.0,0.0,0.03,0.44,0.0
Power Rangers: S.P.D.,GBA,Action,0.31,0.12,0.0,0.01,0.44,0.12
Naruto: Ultimate Ninja 3,PS2,Fighting,0.36,0.01,0.0,0.06,0.44,0.01
The Darkness,X360,Shooter,0.36,0.04,0.01,0.03,0.44,0.05
Thrillville: Off the Rails,Wii,Strategy,0.38,0.02,0.0,0.03,0.44,0.02
Jump Start Pet Rescue,Wii,Misc,0.41,0.0,0.0,0.03,0.44,0.0
SingStar Motown,PS2,Misc,0.0,0.06,0.0,0.38,0.44,0.06
Child of Eden,X360,Shooter,0.28,0.12,0.0,0.04,0.44,0.12
Neon Genesis Evangelion,SAT,Adventure,0.0,0.0,0.44,0.0,0.44,0.44
Mobile Suit Gundam: One Year War,PS2,Action,0.0,0.0,0.44,0.0,0.44,0.44
Spider-Man: Shattered Dimensions,PS3,Action,0.26,0.12,0.0,0.05,0.44,0.12
Tongari Boushi to Mahou no Otana,DS,Simulation,0.0,0.0,0.44,0.0,0.44,0.44
NFL Blitz 20-03,PS2,Sports,0.21,0.17,0.0,0.06,0.44,0.17
SpongeBob's Atlantis SquarePantis,PS2,Action,0.36,0.01,0.0,0.06,0.44,0.01
Eternal Sonata,PS3,Role-Playing,0.19,0.12,0.07,0.05,0.44,0.19
SingStar Queen,PS3,Misc,0.11,0.25,0.0,0.07,0.44,0.25
Karaoke Revolution,Wii,Misc,0.24,0.15,0.0,0.04,0.44,0.15
Star Wars: Jedi Starfighter,XB,Simulation,0.35,0.07,0.0,0.02,0.44,0.07
Walk it Out!,Wii,Sports,0.35,0.05,0.0,0.03,0.44,0.05
