NOME,PLATAFORMA,GENERO,VENDAS(AN),VENDAS(EU),VENDAS(JP),VENDAS(Outros),VENDAS(GLOBAL),soma_total
Just Dance 2,Wii,Misc,5.8,2.85,0.01,0.78,9.44,2.86
Call of Duty: Ghosts,PS3,Shooter,4.1,3.63,0.38,1.25,9.36,4.01
Call of Duty 4: Modern Warfare,X360,Shooter,5.93,2.36,0.13,0.9,9.31,2.4899999999999998
Donkey Kong Country,SNES,Platform,4.36,1.71,3.0,0.23,9.3,4.71
Minecraft,X360,Misc,5.7,2.65,0.02,0.81,9.18,2.67
Animal Crossing: New Leaf,3DS,Simulation,2.03,2.36,4.39,0.39,9.16,6.75
Mario Party DS,DS,Misc,4.4,1.85,1.98,0.68,8.91,3.83
The Elder Scrolls V: Skyrim,X360,Role-Playing,5.05,2.79,0.1,0.85,8.79,2.89
Super Mario Kart,SNES,Racing,3.54,1.24,3.81,0.18,8.76,5.05
FIFA 16,PS4,Sports,1.12,6.12,0.06,1.28,8.57,6.18
Halo 2,XB,Shooter,6.82,1.53,0.05,0.08,8.49,1.58
Wii Party,Wii,Misc,1.75,3.47,2.49,0.67,8.38,5.960000000000001
Mario Party 8,Wii,Misc,3.74,2.24,1.58,0.7,8.27,3.8200000000000003
FIFA Soccer 13,PS3,Action,1.06,5.01,0.13,1.97,8.16,5.14
GoldenEye 007,N64,Shooter,5.8,2.01,0.13,0.15,8.09,2.1399999999999997
Pokemon Black 2/Pokemon White 2,DS,Role-Playing,2.79,1.72,3.14,0.41,8.07,4.86
Final Fantasy X,PS2,Role-Playing,2.91,2.07,2.73,0.33,8.05,4.8
The Sims 3,PC,Simulation,0.99,6.42,0.0,0.6,8.01,6.42
Mario & Sonic at the Olympic Games,Wii,Sports,2.57,3.86,0.66,0.91,7.99,4.52
Star Wars Battlefront (2015),PS4,Shooter,2.99,3.49,0.22,1.28,7.98,3.7100000000000004
Final Fantasy VIII,PS,Role-Playing,2.28,1.72,3.63,0.23,7.86,5.35
Pac-Man,2600,Puzzle,7.28,0.45,0.0,0.08,7.81,0.45
Pokémon Platinum Version,DS,Role-Playing,2.76,1.72,2.69,0.54,7.72,4.41
Grand Theft Auto: Liberty City Stories,PSP,Action,2.9,2.81,0.24,1.73,7.69,3.05
Call of Duty: Advanced Warfare,PS4,Shooter,2.81,3.48,0.14,1.23,7.66,3.62
The Legend of Zelda: Ocarina of Time,N64,Action,4.1,1.89,1.45,0.16,7.6,3.34
FIFA 17,PS4,Sports,0.66,5.75,0.08,1.11,7.59,5.83
Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,3.78,2.17,1.31,0.31,7.58,3.48
Super Smash Bros. for Wii U and 3DS,3DS,Fighting,3.27,1.37,2.43,0.48,7.55,3.8000000000000003
Super Mario Galaxy 2,Wii,Platform,3.56,2.35,0.98,0.62,7.51,3.33
Super Mario Bros. 2,NES,Platform,5.39,1.18,0.7,0.19,7.46,1.88
Call of Duty: Black Ops 3,XOne,Shooter,4.59,2.11,0.01,0.68,7.39,2.1199999999999997
Call of Duty: World at War,X360,Shooter,4.81,1.88,0.0,0.69,7.38,1.88
Battlefield 3,X360,Shooter,4.46,2.11,0.06,0.69,7.32,2.17
Need for Speed Underground,PS2,Racing,3.27,2.83,0.08,1.02,7.2,2.91
Just Dance,Wii,Misc,3.48,2.99,0.0,0.73,7.2,2.99
Battlefield 3,PS3,Shooter,2.85,2.89,0.35,1.08,7.17,3.24
Fallout 4,PS4,Role-Playing,2.53,3.27,0.24,1.13,7.16,3.51
Tekken 3,PS,Fighting,3.27,2.22,1.4,0.29,7.16,3.62
The Legend of Zelda: Twilight Princess,Wii,Action,3.74,2.14,0.6,0.68,7.15,2.74
Pokemon Sun/Moon,3DS,Role-Playing,2.98,1.45,2.26,0.45,7.14,3.71
Crash Bandicoot 3: Warped,PS,Platform,3.68,1.75,1.42,0.28,7.13,3.17
Mario Kart 8,WiiU,Racing,3.15,2.15,1.28,0.51,7.09,3.4299999999999997
Super Smash Bros. Melee,GC,Fighting,4.41,1.04,1.39,0.22,7.07,2.4299999999999997
Mario Kart: Double Dash!!,GC,Racing,4.12,1.77,0.87,0.19,6.95,2.64
Need for Speed Underground 2,PS2,Racing,2.71,3.02,0.08,1.09,6.9,3.1
Medal of Honor: Frontline,PS2,Shooter,2.93,2.75,0.17,0.99,6.83,2.92
Crash Bandicoot,PS,Platform,3.23,2.35,0.94,0.3,6.82,3.29
Just Dance 4,Wii,Misc,4.05,2.16,0.0,0.55,6.76,2.16
Gears of War 2,X360,Shooter,4.15,1.9,0.06,0.64,6.75,1.96
Uncharted 3: Drake's Deception,PS3,Action,2.77,2.75,0.19,1.03,6.74,2.94
Zumba Fitness,Wii,Sports,3.45,2.59,0.0,0.66,6.71,2.59
Call of Duty 4: Modern Warfare,PS3,Shooter,3.11,2.26,0.28,1.03,6.68,2.54
Uncharted 2: Among Thieves,PS3,Action,3.27,2.2,0.21,0.98,6.66,2.41
FIFA 12,PS3,Sports,0.84,4.3,0.11,1.39,6.65,4.41
Big Brain Academy,DS,Misc,1.66,2.75,1.6,0.62,6.62,4.35
The Legend of Zelda,NES,Action,3.74,0.93,1.69,0.14,6.51,2.62
Red Dead Redemption,PS3,Action,2.79,2.53,0.17,0.99,6.49,2.6999999999999997
FIFA 14,PS3,Sports,0.78,4.24,0.07,1.37,6.47,4.3100000000000005
Assassin's Creed III,PS3,Action,2.64,2.52,0.16,1.12,6.45,2.68
Donkey Kong Country Returns,Wii,Platform,3.17,1.79,1.03,0.46,6.44,2.8200000000000003
Halo: Combat Evolved,XB,Shooter,4.98,1.3,0.08,0.07,6.43,1.3800000000000001
The Elder Scrolls V: Skyrim,PS3,Role-Playing,2.55,2.6,0.25,1.0,6.41,2.85
Pokémon Emerald Version,GBA,Role-Playing,2.57,1.58,2.06,0.21,6.41,3.64
Kingdom Hearts,PS2,Role-Playing,3.64,1.2,1.49,0.07,6.4,2.69
Pokémon Crystal Version,GB,Role-Playing,2.55,1.56,1.29,0.99,6.39,2.85
Halo 3: ODST,X360,Shooter,4.34,1.34,0.06,0.61,6.34,1.4000000000000001
Red Dead Redemption,X360,Action,3.7,1.95,0.09,0.58,6.32,2.04
